iter	Passed	Remaining
940	104464	28752
941	104630	28656
942	104840	28572
943	104997	28473
944	105129	28368
945	105253	28260
946	105372	28151
947	105497	28043
948	105618	27934
949	105758	27831
950	105871	27720
951	105968	27605
952	106063	27489
953	106164	27375
954	106264	27261
955	106354	27144
956	106471	27035
957	106580	26923
958	106695	26812
959	106801	26700
960	106922	26591
961	107015	26475
962	107146	26369
963	107259	26258
964	107353	26143
965	107463	26031
966	107565	25918
967	107673	25805
968	107808	25700
969	107940	25594
970	108125	25500
971	108240	25389
972	108330	25273
973	108446	25163
974	108581	25057
975	108678	24942
976	108791	24831
977	108898	24719
978	109000	24605
979	109120	24496
980	109260	24391
981	109373	24280
982	109466	24165
983	109615	24061
984	109716	23948
985	109831	23837
986	109923	23722
987	110040	23612
988	110151	23500
989	110274	23391
990	110408	23284
991	110564	23182
992	110687	23073
993	110793	22961
994	110888	22846
995	110985	22732
996	111076	22616
997	111176	22502
998	111278	22389
999	111430	22286
1000	111551	22176
1001	111665	22065
1002	111768	21952
1003	111858	21836
1004	111959	21723
1005	112053	21608
1006	112158	21496
1007	112264	21383
1008	112374	21272
1009	112526	21168
1010	112679	21064
1011	112805	20955
1012	112946	20850
1013	113073	20741
1014	113164	20626
1015	113264	20512
1016	113361	20398
1017	113482	20288
1018	113584	20175
1019	113680	20061
1020	113815	19953
1021	113940	19844
1022	114057	19734
1023	114184	19625
1024	114285	19512
1025	114401	19401
1026	114533	19293
1027	114645	19181
1028	114780	19074
1029	114916	18966
1030	115031	18855
1031	115147	18744
1032	115244	18631
1033	115363	18520
1034	115506	18414
1035	115679	18312
1036	115786	18199
1037	115886	18086
1038	116000	17975
1039	116115	17863
1040	116219	17751
1041	116322	17638
1042	116415	17523
1043	116511	17409
1044	116607	17295
1045	116724	17185
1046	116823	17071
1047	116919	16957
1048	117019	16844
1049	117142	16734
1050	117254	16623
1051	117373	16512
1052	117492	16402
1053	117645	16296
1054	117795	16189
1055	117906	16078
1056	118021	15966
1057	118119	15853
1058	118220	15740
1059	118357	15632
1060	118457	15518
1061	118549	15404
1062	118658	15292
1063	118760	15179
